0.2,6,0.0597595328,3.82566733847511E-09
0.3,7,0.0731870641,1.10049258594813E-09
0.4,8,0.0815989609,9.16180250776222E-07
0.5,9,0.0868916043,5.63889006599538E-08
0.6,10,0.0901609545,6.19890805353407E-10
0.7,11,0.0920757608,1.69620895107414E-09
0.8,12,0.0930621238,3.43890813603309E-08
0.9,13,0.0934009769,1.90939637878529E-07
1,14,0.0932827515,2.36979706969009E-08
0.1,14,0.0134950144,5.57824453295552E-08
0.2,13,0.0275813227,1.34891631198286E-09
0.3,12,0.0426924669,2.15890604504665E-07
0.4,11,0.0593446452,1.89849380660689E-09
0.5,10,0.0782024427,0.000000037
0.6,9,0.1001788382,-1.8279000535415E-09
0.7,8,0.1266041754,7.33782856698895E-08
0.8,7,0.1595350665,-1.12631823867559E-08
0.9,6,0.2023687702,-3.90856236265336E-10
1,5,0.2611916886,-1.82307651641622E-07
0.1,5,0.0377860308,2.52264453770579E-09
