Cost,Duration,NPV,LCOE
17299.211271,6.2523623841,-7031.05335489,9.70278428773
9310.85612826,5.87235388362,475.313989077,5.9938214508
14046.3196093,5.8098324457,-3974.42914291,8.19247909093
13399.2214667,5.93461406256,-3366.37450847,7.89203389039
8243.25252975,5.81013277903,1478.50233573,5.49813717028
8677.3591526,6.26737248605,1070.58810066,5.69969122022
12249.3878808,6.13115160156,-2285.91762776,7.35817054027
15393.6172217,5.87015780936,-5240.43580135,8.81802423577
14018.8563701,6.06453280176,-3948.622934,8.17972801369
8847.24235829,5.93730192704,910.955019165,5.77856734494
8678.74585968,5.9700788612,1069.28506236,5.70033506303
19064.5867829,6.01923126434,-8689.91263888,10.5224414074
10851.6064968,6.03548768609,-972.473201768,6.70918597275
8874.31189113,5.87448009591,885.518761807,5.79113562583
9432.99586208,5.56636711125,360.543714975,6.05053046355
17915.5514358,5.805058451,-7610.20583407,9.98894867641
15087.5216114,5.77420017705,-4952.80886788,8.67590521092
7990.78341583,5.83998976277,1715.73839725,5.38091672323
8934.66270101,5.9018101292,828.809296541,5.81915627677
20032.6963577,5.85424132793,-9599.61006315,10.971930992
13814.0809802,5.81272109313,-3756.2029336,8.08465158086
13414.0741507,5.86105379079,-3380.33103647,7.89892993495
9131.65023007,6.01911322253,643.707266292,5.91061683549
11962.3488074,5.91736302353,-2016.19743019,7.22489939282
8132.67282782,5.84755021962,1582.4100675,5.44679543626
12002.6699318,5.82285823993,-2054.08572714,7.24362033717
13658.9042045,6.01093513168,-3610.38895054,8.01260359552
12131.8130147,6.24389047673,-2175.43679414,7.30358097819
11889.8858865,6.06126273522,-1948.10665392,7.19125513493
8909.97395397,5.94013954669,852.008415912,5.80769338565
19254.3143686,6.11974610317,-8868.19276387,10.610531202
11551.2687591,5.95621338732,-1629.92043131,7.03403649363
9845.90658373,6.02299289848,-27.453501169,6.24224333737
8944.45830525,6.18040901325,819.604722828,5.82370433847
20384.9048728,6.18646732545,-9930.56761928,11.1354600627
14327.4145799,6.03645981725,-4238.56388286,8.32299041412
8369.25724163,6.12731293732,1360.10028205,5.55664067761
7677.449549,5.86397348823,2010.16685765,5.23543700346
14386.1779768,6.08595362104,-4293.78171374,8.35027403525
11260.4889586,6.08294127934,-1356.68520835,6.89902854088
16175.6141207,6.00444102688,-5975.24990018,9.18110241457
8278.92349583,6.15003690712,1444.98362379,5.51469906384
14227.2429325,5.96639579563,-4144.43622209,8.27648110012
14568.5447149,5.92650970507,-4465.14511751,8.43494621648
9802.02649335,6.08609361176,13.7790268812,6.2218699787
14208.8950208,6.32086838792,-4127.19535553,8.26796223468
14964.5567468,6.09218621376,-4837.26324826,8.61881309305
10733.5801444,5.82948664926,-861.56812283,6.65438678729
13228.3803651,5.83264848466,-3205.84132698,7.81271301826
8924.53539298,5.95601331601,838.325560272,5.81445420626
12045.507597,6.13642791447,-2094.33872603,7.26350970177
17471.9519819,6.47950123676,-7193.37153023,9.78298714119
11469.7664709,5.92107169352,-1553.33568977,6.99619529199
12855.5429487,6.12652650744,-2855.49954113,7.6396060273
8488.51498557,6.10287559066,1248.03810922,5.61201159344
11882.6584829,6.14799479074,-1941.31532508,7.18789947897
16191.2581174,6.23038394,-5989.94999602,9.18836586261
14406.0551734,5.80259402994,-4312.45959383,8.35950294185
12789.8144069,6.19615656992,-2793.73681641,7.60908851594
8189.96813821,6.20551264267,1528.57174419,5.47339743044
9893.93242504,5.76533677899,-72.5816408701,6.26454155239
9302.69563759,6.03153595836,482.982105929,5.99003256609
12359.2671908,5.83570920833,-2389.16722664,7.40918708498
8758.02584069,5.94071387673,994.78854213,5.73714445596
13115.3819985,6.00943668088,-3099.66086387,7.76024830748
17658.1262616,5.95002526293,-7368.31274263,9.86942714948
10866.1726626,5.71579339055,-986.160499042,6.71594898801
8553.03144755,5.94926360779,1187.4143319,5.64196634077
21874.2553552,5.99001460603,-11330.056203,11.8269598135
7925.25448573,5.81833134233,1777.31355412,5.35049189082
10685.3509762,5.74959114163,-816.248924304,6.63199416841
9414.31600085,5.95229725703,378.096502483,6.04185747519
12132.359927,6.37076222669,-2175.95070772,7.30383490746
23181.6772649,6.01165205184,-12558.5931111,12.4339908216
15765.875992,6.11812664032,-5590.23385445,8.99086256355
15071.5294952,6.06099687342,-4937.78165677,8.66848013231
16401.5947784,6.42345391199,-6187.59572095,9.28602437239
7812.87637183,5.8803515091,1882.91118833,5.29831516098
8414.09663066,5.7827076346,1317.96633588,5.57745943498
9990.01430089,5.95360040702,-162.866291754,6.30915200103
18121.7728994,6.07462477236,-7803.98465738,10.0846965157
9548.54281816,5.97569308515,251.968434793,6.10417847473
15665.820692,5.82246093637,-5496.21552115,8.94440726923
13041.6725009,5.81840003686,-3030.39872464,7.72602526874
9316.77992793,6.45114016303,469.74760957,5.9965718484
9380.79348339,5.96705071768,409.596395243,6.02629309814
7782.5015974,5.87934060537,1911.45326124,5.28421226902
21308.78469,6.46456425554,-10798.703946,11.5644139395
13196.5045038,6.2021822739,-3175.88873725,7.79791317739
16858.2739527,6.13888808677,-6616.72056324,9.49805877192
11926.2569914,6.02423069943,-1982.28326089,7.20814210027
8895.58437189,6.09789947199,865.529783846,5.80101235755
19519.6267183,6.16369605565,-9117.4971478,10.7337147145
17659.3852305,6.58161305602,-7369.49575003,9.87001168395
12401.0888414,5.93729779529,-2428.4655135,7.42860471788
12461.7141304,6.0015832176,-2485.43289688,7.45675280845
13587.1939355,6.01973661525,-3543.00541386,7.979308791
9848.94611742,6.17468052517,-30.3096406325,6.24365458127
