Unit Name,Capacity (Mwe),Constructor Experience (Reactor-Years),Construction Start Date,Commercial Operation Date,Realized Costs (Mixed Current Dollars),Realized Costs (Constant 1982 dollars),Location: south or southwest,Location: west,Utility construction manager,Single Unit,Cooling tower,Est Completion Date at 0%,Est Completion Date at 25%,Est Completion Date at 50%,Est Completion Date at 75%,Est Completion Date at 90%,Est Overnight Cost at 0%,Est Overnight Cost at 25%,Est Overnight Cost at 50%,Est Overnight Cost at 75%,Est Overnight Cost at 90%,Est Overnight cost at 0% ($/kW),Est Overnight cost at 25% ($/kW),Est Overnight cost at 50% ($/kW),Est Overnight cost at 75% ($/kW),Est Overnight cost at 90% ($/kW),Realized costs at 100% ($/kW),cesc025,cesc2550,cesc5075,cesc7590,cesc90100,sesc025,sesc2550,sesc5075,sesc7590,sesc90100,fcesc025,fcesc2550,fcesc5075,fcesc7590,fcesc90100,fsesc025,fsesc2550,fsesc5075,fsesc7590,fsesc90100,sescor025,sescor2550,sescor5075,sescor7590,sescor90100
Byron 1,1120,105,03/15/1975,04/15/1985,2374000,1891608,0,0,1,1,0,10/15/1980,03/15/1981,09/15/1981,10/15/1983,06/15/1984,556370,826377,804866,1417628,1621337,496.7589285714,737.8366071429,718.6303571429,1265.7392857143,1447.6223214286,1688.9357142857,0.4853011485,-0.0260304921,0.7613217604,0.1436970771,0.1666963747,0.0739833415,0.0839416058,0.3198653199,0.0778061224,0.0899408284,0.1128940407,0.0849416058,0.3882372575,0.0788061224,0.1394176496,1.8169645622,1.154698578,0.9751875652,0.4436216765,1.2313832359,0.0739833415,0.0839416058,0.3198653199,0.0778061224,0.0899408284
Byron 2,1120,110,03/15/1975,10/15/1986,1776000,1556548,0,0,1,0,0,10/15/1982,10/15/1982,10/15/1983,02/15/1985,,414763,451615,546784,963837,1124444,370.3241071429,403.2276785714,488.2,860.56875,1003.9678571429,1389.775,0.0888507413,0.2107303788,0.7627381196,0.1666329473,0.3842823653,0,0.1317214002,0.1559311224,,,0.0389106992,0.1327214002,0.2243030601,0.001,0.0494768212,1.7429812207,1.2024783723,0.8112533678,0.365815554,1.1414424075,0,0.1317214002,0.1559311224,0,0
Callaway,1120,77,08/15/1975,06/15/1985,3070000,2253092,0,0,0,1,0,10/15/1981,10/15/1982,10/15/1982,01/15/1984,12/15/1985,853699,965844,949058,1943763,2052471,762.23125,862.3607142857,847.3732142857,1735.5026785714,1832.5633928571,2011.6892857143,0.1313636305,-0.0173796182,1.0480971658,0.0559265713,0.0977460826,0.1620062139,0,0.1745607334,0.2276422764,-0.0484768212,0.2009169132,0.001,0.242932671,0.2286422764,0.001,1.9049874346,1.0707569721,0.8298829787,0.5934578304,1.0929655863,0.1620062139,0,0.1745607334,0.2276422764,-0.0484768212
Calvert Cliffs 1,845,163,06/01/1968,05/22/1975,429000,858098,1,0,0,1,1,01/01/1973,01/01/1973,01/01/1973,02/01/1974,07/01/1974,268461,354144,346309,654792,740358,317.7053254438,419.1053254438,409.8331360947,774.9017751479,876.1633136095,1015.500591716,0.3191636774,-0.0221237689,0.8907738465,0.1306766118,0.1590311714,0,0,0.2364179104,0.0724287784,0.1463304818,0.0389106992,0.001,0.3047898481,0.0734287784,0.1473304818,1.7429812207,1.0707569721,0.8917401558,0.4382443324,1.2877728892,0,0,0.2364179104,0.0724287784,0.1463304818
Calvert Cliffs 2,845,203,06/01/1968,04/01/1977,310000,574988,1,0,0,0,1,01/01/1974,01/01/1974,06/01/1974,09/01/1975,01/01/1977,215745,241400,392206,603477,584109,255.3195266272,285.6804733728,464.149112426,714.173964497,691.2532544379,680.4591715976,0.1189135322,0.6247141674,0.5386735542,-0.0320940152,-0.0156152362,0,0.0740196078,0.2085805568,0.1842900302,0.0286989796,0.0389106992,0.0750196078,0.2769524945,0.1852900302,0.0296989796,1.7429812207,1.14477658,0.8639028021,0.5501055842,1.1701413871,0,0.0740196078,0.2085805568,0.1842900302,0.0286989796
Catawba,1145,67,05/15/1974,06/15/1985,1936000,1558099,1,0,1,1,0,07/15/1979,07/15/1981,07/15/1981,03/15/1984,06/15/1985,420188,675803,791272,1095614,1128480,366.976419214,590.2209606987,691.0672489083,956.8681222707,985.5720524017,1360.7851528384,0.6083348406,0.1708619228,0.3846237451,0.0299977912,0.3807059053,0.3873873874,0,0.372039725,0.1272271715,0,0.4262980866,0.001,0.4404116626,0.1282271715,0.001,2.130368608,1.0707569721,1.0273619703,0.4930427255,1.1414424075,0.3873873874,0,0.372039725,0.1272271715,0
Clinton,933,11,10/01/1975,07/15/1986,3145000,3048987,0,0,0,1,1,06/15/1981,12/15/1982,12/15/1982,09/15/1983,07/15/1986,533530,1104105,1152515,1603065,3048987,571.8435155413,1183.3922829582,1235.2786709539,1718.1832797428,3267.9389067524,3267.9389067524,1.0694337713,0.0438454676,0.3909276669,0.9019734072,0,0.2629558541,0,0.1041033435,0.355815554,0,0.3018665534,0.001,0.1724752811,0.356815554,0.001,2.0059370748,1.0707569721,0.7594255888,0.7216311081,1.1414424075,0.2629558541,0,0.1041033435,,0
Cooper,778,19,02/01/1968,07/01/1974,232253,791486,0,0,0,1,1,04/01/1972,04/01/1972,04/01/1973,04/01/1973,11/01/1973,284213,277832,413459,529283,629446,365.3123393316,357.1105398458,531.4383033419,680.3123393316,809.0565552699,1017.3341902314,-0.0224514713,0.4881619108,0.280134185,0.1892428058,0.2574327266,0,0.2399737015,0,0.1134676564,0.1152380952,0.0389106992,0.2409737015,0.0683719376,0.1144676564,0.1162380952,1.7429812207,1.3107306736,0.6553222453,0.4192650702,1.2566805027,0,0.2399737015,0,0.1134676564,0.1152380952
Crystal River 3,825,10,06/01/1968,03/01/1977,414152,712103,1,0,0,1,1,04/01/1972,09/01/1973,09/01/1973,12/01/1974,03/01/1975,271995,401967,400119,581483,597485,329.6909090909,487.2327272727,484.9927272727,704.8278787879,724.2242424242,863.1551515152,0.4778470192,-0.0045973923,0.4532751506,0.0275192912,0.1918341046,0.37,0,0.2377476538,0.0379106992,0.2966720779,0.4089106992,0.001,0.3061195914,0.0389106992,0.2976720779,2.1129812207,1.0707569721,0.8930698991,0.343708113,1.4381144854,0.37,0,0.2377476538,0.0379106992,0.2966720779
Davis-Besse 1,906,221,06/01/1970,08/15/1978,635707,1020690,0,0,0,1,0,12/01/1974,12/01/1974,05/01/1975,06/01/1976,09/01/1976,363531,535830,614221,837867,848844,401.2483443709,591.4238410596,677.9481236203,924.798013245,936.9139072848,1126.5894039735,0.4739595798,0.1462982662,0.3641132426,0.0131011246,0.2024470928,0,0.0918491484,0.2211699164,0.0419708029,0.3121716287,0.0389106992,0.0928491484,0.2895418541,0.0429708029,0.3131716287,1.7429812207,1.1626061205,0.8764921618,0.3477682167,1.4536140362,0,0.0918491484,0.2211699164,0.0419708029,0.3121716287
